task_id,test_idx,n_views,n_unique_grids,view_level_accuracy,top1_share,top2_share,top1_top2_gap,vote_entropy,top1_correct
50a16a69,0,510,50,0.6823529411764706,0.6823529411764706,0.08627450980392157,0.596078431372549,1.6171105901497458,True
50aad11f,0,510,149,0.5882352941176471,0.5882352941176471,0.011764705882352941,0.5764705882352941,2.6733077595030617,True
50f325b5,0,510,191,0.0,0.18235294117647058,0.09411764705882353,0.08823529411764706,4.234293808595345,False
516b51b7,0,510,93,0.711764705882353,0.711764705882353,0.027450980392156862,0.6843137254901961,1.8256678557317085,True
5207a7b5,0,510,25,0.4137254901960784,0.4137254901960784,0.12549019607843137,0.28823529411764703,2.147751100357031,True
5289ad53,0,510,20,0.4725490196078431,0.4725490196078431,0.11372549019607843,0.3588235294117647,1.969071666977644,True
52fd389e,0,510,176,0.0,0.32745098039215687,0.049019607843137254,0.2784313725490196,3.8424679237928854,False
54db823b,0,510,66,0.8215686274509804,0.8215686274509804,0.01764705882352941,0.803921568627451,1.1754807530641282,True
55059096,0,510,15,0.9215686274509803,0.9215686274509803,0.023529411764705882,0.8980392156862745,0.4481418953892429,True
551d5bf1,0,510,93,0.5745098039215686,0.5745098039215686,0.03725490196078431,0.5372549019607843,2.4300833327246383,True
55783887,0,510,377,0.0,0.013725490196078431,0.013725490196078431,0.0,5.799459005408817,False
575b1a71,0,510,159,0.0,0.16470588235294117,0.10588235294117647,0.058823529411764705,4.028405213033387,False
5783df64,0,510,8,0.8627450980392157,0.8627450980392157,0.06274509803921569,0.8,0.6181551237307361,True
5833af48,0,510,376,0.0,0.013725490196078431,0.011764705882352941,0.00196078431372549,5.791777780036834,False
58743b76,0,510,68,0.7098039215686275,0.7098039215686275,0.0803921568627451,0.6294117647058823,1.5663812102079029,True
58e15b12,0,510,449,0.0,0.00784313725490196,0.00784313725490196,0.0,6.054954784736647,False
59341089,0,510,21,0.9529411764705882,0.9529411764705882,0.0058823529411764705,0.9470588235294117,0.32741892806369666,True
5a5a2103,0,510,226,0.5274509803921569,0.5274509803921569,0.00784313725490196,0.5196078431372549,3.235212957993926,True
5af49b42,0,510,415,0.0,0.011764705882352941,0.0058823529411764705,0.0058823529411764705,5.955353323394634,False
5b526a93,0,510,1,1.0,1.0,0.0,1.0,0.0,True
5b692c0f,0,510,392,0.0,0.021568627450980392,0.01764705882352941,0.00392156862745098,5.833437584468936,False
5b6cbef5,0,510,11,0.9313725490196079,0.9313725490196079,0.0196078431372549,0.9117647058823529,0.3829629852210774,True
5d2a5c43,0,510,9,0.9823529411764705,0.9823529411764705,0.00392156862745098,0.9784313725490196,0.12479121394457315,True
5d2a5c43,1,510,19,0.9274509803921569,0.9274509803921569,0.013725490196078431,0.9137254901960784,0.45225807557215025,True
5ffb2104,0,510,200,0.0,0.043137254901960784,0.03529411764705882,0.00784313725490196,4.778145419514296,False
604001fa,0,510,287,0.0,0.09215686274509804,0.08431372549019608,0.00784313725490196,4.943574643125431,False
60a26a3e,0,510,22,0.8549019607843137,0.8549019607843137,0.027450980392156862,0.8274509803921568,0.7983388496884343,True
60c09cac,0,510,87,0.6607843137254902,0.6607843137254902,0.058823529411764705,0.6019607843137255,1.8967014181253823,True
626c0bcc,0,510,176,0.0,0.1,0.047058823529411764,0.052941176470588235,4.454454192474445,False
62ab2642,0,510,38,0.17647058823529413,0.4294117647058823,0.17647058823529413,0.2529411764705882,2.0540676215217775,False
62b74c02,0,510,33,0.9058823529411765,0.9058823529411765,0.00784313725490196,0.8980392156862745,0.6280490000196842,True
639f5a19,0,510,246,0.27647058823529413,0.27647058823529413,0.050980392156862744,0.22549019607843138,4.349762733337277,True
642248e4,0,510,21,0.3235294117647059,0.3235294117647059,0.24313725490196078,0.0803921568627451,2.016380704932925,True
642d658d,0,510,6,0.46862745098039216,0.46862745098039216,0.38235294117647056,0.08627450980392157,1.1613816210421244,True
64a7c07e,0,510,217,0.0,0.03529411764705882,0.03333333333333333,0.00196078431372549,4.989477017136311,False
